Id,Chr,Start,End,GC_Percent
ENSMUSG00000072915,chr11,58847158,58861956,44.96
ENSMUSG00000066800,chr1,153749426,153764221,44.42
ENSMUSG00000033491,chr9,86743649,86758443,44.56
ENSMUSG00000058163,chr11,48887422,48902214,41.42
ENSMUSG00000051037,chr13,67194506,67209298,40.67
ENSMUSG00000030551,chr7,70351944,70366735,47.74
ENSMUSG00000048581,chr3,63914684,63929472,40.72
ENSMUSG00000020659,chr12,31484829,31499616,38.96
ENSMUSG00000027983,chr3,131288441,131303227,48.3
ENSMUSG00000050896,chr2,84871924,84886710,53.5
ENSMUSG00000031144,chrX,7638471,7653256,49.11
ENSMUSG00000022843,chr16,20702964,20717746,54.33
ENSMUSG00000029859,chr6,42358487,42373268,48.93
ENSMUSG00000020648,chr12,31640050,31654826,39.71
ENSMUSG00000004567,chr8,3500457,3515232,49.43
ENSMUSG00000001663,chr10,75783813,75798584,46.62
ENSMUSG00000054958,chr4,123201504,123216275,49.51
ENSMUSG00000084957,chr19,53929861,53944627,40.18
ENSMUSG00000068008,chr2,153918230,153932996,52.77
ENSMUSG00000039623,chr5,142463944,142478710,55.08
ENSMUSG00000039208,chr11,121701544,121716306,50.65
ENSMUSG00000030095,chr6,91473703,91488463,52.65
ENSMUSG00000036304,chr16,43965033,43979791,47.36
ENSMUSG00000023861,chr17,8282904,8297661,44.31
ENSMUSG00000068479,chr2,121491911,121506665,44.85
ENSMUSG00000076434,chr2,164731180,164745931,47.76
ENSMUSG00000003382,chr3,87525407,87540156,47.97
ENSMUSG00000042997,chr3,53448583,53463332,46.69
ENSMUSG00000019850,chr10,19000910,19015657,45.54
ENSMUSG00000041782,chr1,135818598,135833342,53.22
ENSMUSG00000024677,chr19,11516512,11531256,39.68
ENSMUSG00000020893,chr11,69095217,69109960,55.26
ENSMUSG00000047554,chr7,109972187,109986929,41.39
ENSMUSG00000030677,chr7,127027729,127042471,46.86
ENSMUSG00000039770,chr17,72836453,72851195,42.87
ENSMUSG00000052488,chr8,72460489,72475226,52.52
ENSMUSG00000027636,chr2,156872457,156887192,51.73
ENSMUSG00000075232,chr10,40287458,40302188,44.74
ENSMUSG00000030495,chr7,35186385,35201114,53.18
ENSMUSG00000031828,chr8,119862266,119876995,50.35
ENSMUSG00000060314,chr7,140807449,140822178,40.52
ENSMUSG00000038630,chr4,58943628,58958355,43.54
ENSMUSG00000034623,chr14,64075438,64090162,46.62
ENSMUSG00000109511,chr7,44816088,44830812,50.08
ENSMUSG00000033233,chr3,100922202,100936920,49.23
ENSMUSG00000067599,chr6,130218605,130233322,35.66
ENSMUSG00000031617,chr8,77595982,77610698,41.52
ENSMUSG00000050875,chr18,59062248,59076962,39.46
ENSMUSG00000053388,chr5,135353295,135368005,48.8
ENSMUSG00000045827,chr13,33003250,33017957,41.78
ENSMUSG00000042155,chr2,69821944,69836651,45
ENSMUSG00000053044,chr6,71322788,71337494,47.97
ENSMUSG00000031411,chrX,135613002,135627705,37.91
ENSMUSG00000060427,chr8,69610857,69625548,43.75
ENSMUSG00000001155,chr10,76575648,76590338,50.1
ENSMUSG00000005470,chr8,83955507,83970197,44.79
ENSMUSG00000115267,chr7,11923523,11938213,35.46
ENSMUSG00000020910,chr11,67037905,67052594,44.16
ENSMUSG00000034675,chr13,55473429,55488111,55.36
ENSMUSG00000026234,chr1,86344719,86359400,42.35
ENSMUSG00000025894,chr9,4294793,4309471,36.17
ENSMUSG00000041827,chr5,114923240,114937915,49.58
ENSMUSG00000024340,chr17,34354822,34369495,45.93
ENSMUSG00000089727,chr6,130115226,130129898,35.94
ENSMUSG00000061451,chr19,5070859,5085531,51.99
ENSMUSG00000051790,chr11,69823122,69837784,55.44
ENSMUSG00000021280,chr12,111417017,111431678,55.1
ENSMUSG00000031819,chr8,120653914,120668573,51.43
ENSMUSG00000004934,chr10,81153266,81167923,56.39
ENSMUSG00000049295,chr14,52006077,52020733,54.03
ENSMUSG00000010110,chr19,8741413,8756069,44.25
ENSMUSG00000016637,chr15,78159463,78174107,54.03
ENSMUSG00000026981,chr2,24336853,24351494,42.77
ENSMUSG00000050144,chr3,88410498,88425139,50.56
ENSMUSG00000041459,chr4,148612382,148627019,42.89
ENSMUSG00000000318,chr11,70156197,70170834,47.28
ENSMUSG00000019762,chr10,3540240,3554877,43.65
ENSMUSG00000020428,chr11,42306437,42321072,35.82
ENSMUSG00000029596,chr5,120458186,120472810,51.28
ENSMUSG00000031796,chr8,95420249,95434869,46.58
ENSMUSG00000034652,chr11,114890041,114904654,48.04
ENSMUSG00000098463,chr14,26081516,26096127,43.98
ENSMUSG00000000732,chr10,78069302,78083913,49.9
ENSMUSG00000042250,chr3,90726906,90741517,44.45
ENSMUSG00000030720,chr7,126571207,126585817,49.43
ENSMUSG00000023307,chr19,37207543,37222151,41.49
ENSMUSG00000057143,chr7,104338754,104353362,41.48
ENSMUSG00000028630,chr10,118855603,118870209,48.91
ENSMUSG00000024215,chr17,27714352,27728955,53.88
ENSMUSG00000047898,chr9,114490316,114504916,47.05
ENSMUSG00000000244,chr7,143005046,143019644,53.07
ENSMUSG00000018585,chr11,55446641,55461239,48.63
ENSMUSG00000031250,chrX,133850980,133865577,41.23
ENSMUSG00000027876,chr3,98222156,98236748,45.23
ENSMUSG00000047298,chr19,27322588,27337179,44.63
ENSMUSG00000021950,chr14,34085981,34100571,49.37
ENSMUSG00000030472,chr7,43634707,43649295,47.71
ENSMUSG00000030216,chr6,136813654,136828233,45.75
ENSMUSG00000027673,chr3,32736990,32751566,46.15
ENSMUSG00000051392,chr3,97407450,97422020,40.7
ENSMUSG00000002486,chr5,114707760,114722327,53.74
ENSMUSG00000024750,chr19,21272278,21286840,38.75
ENSMUSG00000044442,chr16,87354185,87368742,44.26
ENSMUSG00000021094,chr12,72650353,72664909,45.57
ENSMUSG00000028644,chr4,119175457,119190011,46.32
ENSMUSG00000067714,chr6,125067920,125082472,47.78
ENSMUSG00000035041,chr10,81084324,81098874,51.76
ENSMUSG00000091144,chr14,59380833,59395381,41.95
ENSMUSG00000116780,chr17,14964242,14978790,39.89
ENSMUSG00000023940,chr17,53674786,53689333,39.98
ENSMUSG00000054753,chr7,3154658,3169203,45.38
ENSMUSG00000037731,chr4,132781843,132796387,49.32
ENSMUSG00000008090,chr5,108692382,108706924,55.7
ENSMUSG00000074194,chr8,85108553,85123095,44.5
ENSMUSG00000019132,chr13,24801657,24816197,39.8
ENSMUSG00000031913,chr8,107031222,107045755,48.38
ENSMUSG00000026860,chr2,30344809,30359337,55.01
ENSMUSG00000026563,chr1,166379097,166393621,46.35
ENSMUSG00000040165,chr8,3940222,3954746,43.22
ENSMUSG00000029060,chr4,155654677,155669198,53.07
ENSMUSG00000025417,chr10,127197067,127211585,49.61
ENSMUSG00000024519,chr18,65955722,65970237,47.66
ENSMUSG00000035047,chr9,21273457,21287969,50.4
ENSMUSG00000028834,chr4,134315120,134329629,49.94
ENSMUSG00000034928,chr13,54679399,54693907,53.66
ENSMUSG00000014551,chr6,92169525,92184033,45.53
ENSMUSG00000024378,chr18,33199355,33213862,40.66
ENSMUSG00000109238,chr18,32458083,32472589,44.68
ENSMUSG00000052749,chr7,104355382,104369884,39.93
ENSMUSG00000035783,chr19,34241090,34255590,44.6
ENSMUSG00000027562,chr3,14886273,14900770,41.22
ENSMUSG00000004842,chr16,65520511,65535005,35.75
ENSMUSG00000026035,chr1,58430994,58445486,43.74
ENSMUSG00000027489,chr2,154544399,154558890,53.41
ENSMUSG00000032171,chr9,20652095,20666584,51.33
ENSMUSG00000006007,chr1,150319417,150333906,35.85
ENSMUSG00000092162,chr10,130441562,130456050,36.7
ENSMUSG00000002204,chr7,44572380,44586862,47.77
ENSMUSG00000024948,chr19,6341135,6355615,54.2
ENSMUSG00000095903,chr9,39768776,39783253,35.14
ENSMUSG00000037710,chr10,71330480,71344954,46.83
ENSMUSG00000023978,chr17,46910459,46924933,51.17
ENSMUSG00000027952,chr3,89454541,89469013,48.9
ENSMUSG00000036521,chr7,31290508,31304977,44.15
ENSMUSG00000021403,chr13,33027416,33041884,41.6
ENSMUSG00000030327,chr6,122874474,122888941,45.13
ENSMUSG00000038429,chr6,124815019,124829484,50.43
ENSMUSG00000020536,chr11,60699723,60714186,56.03
ENSMUSG00000028747,chr4,139061108,139075570,52.1
ENSMUSG00000034471,chr11,115799183,115813639,57.22
ENSMUSG00000038520,chr7,44834623,44849079,55.13
ENSMUSG00000051223,chr1,58392898,58407353,42.57
ENSMUSG00000003344,chr10,80642617,80657071,55.69
ENSMUSG00000040396,chr8,9977707,9992155,42.88
ENSMUSG00000021213,chr13,4191150,4205596,36.73
ENSMUSG00000033706,chr6,85431989,85446435,49.2
ENSMUSG00000045467,chr7,80246376,80260821,48.39
ENSMUSG00000031927,chr9,14756587,14771030,46.07
ENSMUSG00000027761,chr3,60025717,60040160,36.51
ENSMUSG00000020515,chr11,58104153,58118594,46.18
ENSMUSG00000040703,chr7,25802475,25816913,51.18
ENSMUSG00000038567,chr2,170482708,170497145,47.54
ENSMUSG00000033024,chr6,130178675,130193112,35.82
ENSMUSG00000055865,chr3,104767406,104781840,51.32
ENSMUSG00000020839,chr11,76902159,76916587,43.27
ENSMUSG00000043895,chr9,20962361,20976781,51.49
ENSMUSG00000020437,chr11,6506548,6520965,52.16
ENSMUSG00000051730,chr2,69871198,69885615,40.07
ENSMUSG00000012211,chr12,113074502,113088917,48.51
ENSMUSG00000027580,chr2,181227615,181242027,54.88
ENSMUSG00000029433,chr5,123509765,123524176,47.92
ENSMUSG00000023942,chr17,45585200,45599606,54.21
ENSMUSG00000078786,chr7,27195781,27210186,49.76
ENSMUSG00000037625,chr3,31149920,31164324,46.98
ENSMUSG00000034871,chr4,106733889,106748292,50.4
ENSMUSG00000049555,chr9,110865711,110880113,52.65
ENSMUSG00000044792,chr13,59755409,59769810,47.76
ENSMUSG00000037390,chr5,137134922,137149322,47.83
ENSMUSG00000069844,chr11,67052670,67067070,43.07
ENSMUSG00000024553,chr18,82392380,82406777,46.17
ENSMUSG00000021943,chr14,33923587,33937983,49.76
ENSMUSG00000026223,chr1,85894281,85908675,52.42
ENSMUSG00000022043,chr14,66297031,66311424,48.67
ENSMUSG00000022422,chr15,55076099,55090491,44.48
ENSMUSG00000031577,chr8,31150315,31164702,44.01
ENSMUSG00000028334,chr4,46489248,46503632,50.2
ENSMUSG00000060166,chr16,18220753,18235136,56.05
ENSMUSG00000029273,chr5,87554645,87569027,33.44
ENSMUSG00000041548,chr5,116408491,116422864,49.17
ENSMUSG00000038486,chr3,96181151,96195521,51.12
ENSMUSG00000020521,chr11,86484657,86499025,39.55
ENSMUSG00000000148,chr5,140705011,140719379,51.56
ENSMUSG00000041958,chr11,78328415,78342782,48.5
ENSMUSG00000025961,chr1,63754907,63769267,42.39
ENSMUSG00000003812,chr8,84908560,84922915,52.04
ENSMUSG00000050074,chr9,109812280,109826633,43.6
ENSMUSG00000054676,chr7,38183217,38197568,49.3
ENSMUSG00000021414,chr13,34909960,34924310,42.06
ENSMUSG00000027496,chr2,172356190,172370535,48.84
ENSMUSG00000029762,chr6,34354119,34368463,45.23
ENSMUSG00000035868,chr17,21650624,21664966,38
ENSMUSG00000024949,chr19,6363690,6378030,47.88
ENSMUSG00000028655,chr4,122946850,122961188,51.06
ENSMUSG00000079707,chr17,15027152,15041488,39.74
ENSMUSG00000049372,chr2,88454867,88469199,36.25
ENSMUSG00000046245,chr5,137821952,137836281,47.54
ENSMUSG00000024735,chr19,10895231,10909559,49.02
ENSMUSG00000054648,chr8,69702656,69716983,44.95
ENSMUSG00000002728,chr2,145902099,145916425,42.17
ENSMUSG00000052921,chr11,68943155,68957480,50.16
ENSMUSG00000031910,chr8,106870242,106884566,50.57
ENSMUSG00000037761,chr2,158624888,158639211,49.82
ENSMUSG00000029699,chr5,135960211,135974531,50.76
ENSMUSG00000028972,chr4,150187015,150201332,47.75
ENSMUSG00000031903,chr8,106150399,106164715,48.78
ENSMUSG00000018509,chr11,62524946,62539261,45.78
ENSMUSG00000022999,chr15,98903917,98918231,51.78
ENSMUSG00000057425,chr5,87240493,87254804,36.05
ENSMUSG00000053175,chr7,19808462,19822770,52.83
ENSMUSG00000030361,chr6,128609227,128623533,41.71
ENSMUSG00000046650,chr19,12387279,12401584,38.01
ENSMUSG00000025207,chr19,44989101,45003397,52.96
ENSMUSG00000018565,chr11,69968222,69982517,47.57
ENSMUSG00000002343,chr8,70220172,70234466,49.74
ENSMUSG00000031163,chrX,8004200,8018492,45.46
ENSMUSG00000030584,chr7,29303951,29318243,55.19
ENSMUSG00000001672,chr8,109947914,109962203,48.8
ENSMUSG00000067591,chr6,130323289,130337574,35.71
ENSMUSG00000015377,chr15,89182213,89196496,52.98
ENSMUSG00000042797,chr7,97724006,97738289,45.46
ENSMUSG00000068114,chr15,82127922,82142203,49.2
ENSMUSG00000031805,chr8,71676296,71690575,56.86
ENSMUSG00000092192,chr9,72958785,72973064,45.5
ENSMUSG00000027427,chr2,144527718,144541995,41.33
ENSMUSG00000047242,chrX,106206883,106221158,42.54
ENSMUSG00000050989,chr4,134537892,134552166,54.77
ENSMUSG00000060257,chr2,152081529,152095802,54.25
ENSMUSG00000031534,chr8,22462614,22476882,44.42
ENSMUSG00000054667,chrX,141710998,141725263,42.43
ENSMUSG00000029103,chr5,35091501,35105766,52.97
ENSMUSG00000061906,chr5,87409942,87424203,36.41
ENSMUSG00000055202,chr17,32795676,32809931,42.52
ENSMUSG00000036160,chr2,26888628,26902879,47.81
ENSMUSG00000028180,chr3,157534160,157548410,39.44
ENSMUSG00000026285,chr1,94038305,94052553,49.18
ENSMUSG00000042613,chr3,89436706,89450952,52.95
ENSMUSG00000010538,chr3,88282757,88296999,46.49
ENSMUSG00000010592,chr17,50279395,50293636,34.69
ENSMUSG00000032834,chr10,78170909,78185149,54.43
ENSMUSG00000073804,chr7,135258703,135272942,43.44
ENSMUSG00000020409,chr11,43433744,43447981,44.93
ENSMUSG00000027510,chr2,173020498,173034734,56.23
ENSMUSG00000061937,chr5,87774567,87788797,33.49
ENSMUSG00000041995,chr13,95323612,95337841,46.72
ENSMUSG00000028541,chr4,117869260,117883487,54.13
ENSMUSG00000044086,chr6,97238534,97252759,43.09
ENSMUSG00000011877,chr11,77493562,77507786,55.81
ENSMUSG00000025871,chr13,54551218,54565435,47.26
ENSMUSG00000032092,chr9,45039799,45054015,45.23
ENSMUSG00000050910,chr11,115381916,115396132,52.72
ENSMUSG00000013833,chr10,79894708,79908923,54.78
ENSMUSG00000075068,chr2,90049380,90063594,39.09
ENSMUSG00000028057,chr3,88716838,88731049,45.67
ENSMUSG00000068735,chr2,93187548,93201759,56
ENSMUSG00000019487,chr17,57249455,57263665,51.68
ENSMUSG00000046971,chr2,120299957,120314165,50.74
ENSMUSG00000018882,chr11,97315716,97329920,43
ENSMUSG00000110622,chr8,70703457,70717650,54.9
ENSMUSG00000028582,chr4,108619940,108634123,50.08
ENSMUSG00000042109,chr15,81936759,81950941,52.63
ENSMUSG00000018841,chr11,82876434,82890614,48.53
ENSMUSG00000079457,chr1,85199613,85213786,45.53
ENSMUSG00000081534,chr15,97778520,97792692,52.3
ENSMUSG00000039244,chr5,143301195,143315360,53.11
ENSMUSG00000029397,chr5,91948904,91963068,40.08
ENSMUSG00000020537,chr11,60454591,60468754,51.89
ENSMUSG00000028676,chr4,135855747,135869908,39.08
ENSMUSG00000035835,chr10,79860475,79874634,53.5
ENSMUSG00000067586,chr13,51408639,51422797,50.3
ENSMUSG00000067773,chr1,18250980,18265138,36.03
ENSMUSG00000042265,chr17,48232768,48246924,46.83
ENSMUSG00000004044,chr11,100956733,100970887,52.87
ENSMUSG00000036908,chr19,3935186,3949340,48.75
ENSMUSG00000001674,chr1,121553835,121567989,46.3
ENSMUSG00000063229,chr7,46841475,46855627,49.08
ENSMUSG00000014243,chr11,62267224,62281375,44.87
ENSMUSG00000071659,chr19,8820010,8834143,44.06
ENSMUSG00000032519,chr9,120110374,120124504,50.75
ENSMUSG00000031381,chrX,164419787,164433916,41.8
ENSMUSG00000022184,chr15,3965445,3979573,40.26
ENSMUSG00000090688,chr5,109083824,109097950,36.05
ENSMUSG00000042229,chr1,134494648,134508774,46.32
ENSMUSG00000002984,chr7,19701313,19715438,51.8
ENSMUSG00000004054,chr19,5688742,5702865,55.01
ENSMUSG00000028051,chr3,89146074,89160196,50.65
ENSMUSG00000020744,chr11,115614178,115628295,51.4
ENSMUSG00000052253,chr15,25984366,25998481,41.8
ENSMUSG00000033770,chr4,141384610,141398724,52.98
ENSMUSG00000017309,chr11,102041509,102055620,50.64
ENSMUSG00000075307,chr2,69670120,69684230,42.46
ENSMUSG00000025405,chr10,127356322,127370431,46.46
ENSMUSG00000006529,chr14,30929180,30943289,50.86
ENSMUSG00000048163,chr5,113818536,113832644,50.32
ENSMUSG00000050029,chrX,51003912,51018018,38.21
ENSMUSG00000032553,chr9,103188032,103202137,45.87
ENSMUSG00000074731,chr2,150470991,150485091,40.02
ENSMUSG00000062014,chr14,46808149,46822242,41.94
ENSMUSG00000062785,chr7,44590664,44604754,57.29
ENSMUSG00000070371,chr7,127932638,127946725,50.42
ENSMUSG00000020388,chr11,54054928,54069014,53.57
ENSMUSG00000090129,chr15,98206971,98221056,45.12
ENSMUSG00000002763,chr17,46711463,46725541,53.43
ENSMUSG00000021537,chr13,81783077,81797155,38.18
ENSMUSG00000060036,chr15,80077791,80091868,46.96
ENSMUSG00000054400,chr8,104250861,104264938,45.21
ENSMUSG00000071665,chrX,153118786,153132861,39.33
ENSMUSG00000035845,chr15,88805244,88819318,49.37
ENSMUSG00000021576,chr13,74303509,74317580,41.95
ENSMUSG00000031198,chrX,75382399,75396459,37.05
ENSMUSG00000060034,chr7,127718106,127732166,47.51
ENSMUSG00000032648,chr19,6384399,6398459,52.41
ENSMUSG00000020299,chr11,31965592,31979651,39.29
ENSMUSG00000043872,chr4,127047094,127061152,42.13
ENSMUSG00000021804,chr14,37034909,37048964,46.09
ENSMUSG00000018604,chr5,119670669,119684724,48.64
ENSMUSG00000054855,chr15,98663421,98677461,48.41
ENSMUSG00000037972,chr16,11060945,11074985,51.56
ENSMUSG00000015536,chr13,114818236,114832275,42.15
ENSMUSG00000057835,chr17,55864892,55878930,38.26
ENSMUSG00000025534,chr5,129989011,130003049,49.57
ENSMUSG00000028451,chr4,42969604,42983640,45.11
ENSMUSG00000021815,chr14,20482867,20496901,40.93
ENSMUSG00000037406,chr8,25024929,25038962,47.08
ENSMUSG00000074472,chr9,22188090,22202123,45.3
ENSMUSG00000030980,chr7,118842222,118856254,49.8
ENSMUSG00000043903,chr8,122258620,122272650,58.6
ENSMUSG00000037892,chr3,49743296,49757325,42.66
ENSMUSG00000038545,chr17,46650337,46664364,55.1
ENSMUSG00000115744,chr7,12189286,12203313,35.32
ENSMUSG00000036270,chr8,105880881,105894908,51.98
ENSMUSG00000050982,chr15,77477047,77491069,46.47
ENSMUSG00000041578,chr7,15865947,15879968,45.51
ENSMUSG00000056952,chr6,113697050,113711069,47.64
ENSMUSG00000032936,chr9,107935674,107949691,52.3
ENSMUSG00000015519,chr10,28972288,28986303,36.65
ENSMUSG00000041679,chr8,105312265,105326278,49.94
ENSMUSG00000022283,chr15,36595661,36609668,42.97
ENSMUSG00000020978,chr12,69296681,69310687,44.66
ENSMUSG00000074797,chr2,130667610,130681614,47.58
ENSMUSG00000023938,chr17,45506841,45520843,53.27
ENSMUSG00000061650,chr11,59948206,59962205,48.09
ENSMUSG00000017667,chr2,165374264,165388259,49.45
ENSMUSG00000010663,chr19,10182888,10196877,51.42
ENSMUSG00000034845,chr8,71497765,71511752,53.67
ENSMUSG00000017718,chr11,117825924,117839908,50.64
ENSMUSG00000004263,chr6,124742544,124756524,53.11
ENSMUSG00000086056,chr1,166483613,166497588,40.96
ENSMUSG00000041845,chr19,4425459,4439432,49.73
ENSMUSG00000001588,chr11,69881567,69895539,49.9
ENSMUSG00000052962,chr6,71812997,71826969,42.22
ENSMUSG00000053228,chr7,17150282,17164253,47.92
ENSMUSG00000004296,chr11,44400063,44414033,43.85
ENSMUSG00000020691,chr11,105126425,105140394,46.23
ENSMUSG00000024851,chr19,4099998,4113965,55.13
ENSMUSG00000034108,chr19,4825366,4839332,47.17
ENSMUSG00000037523,chr2,131234063,131248025,49.34
ENSMUSG00000005354,chr15,77915047,77929006,50.39
ENSMUSG00000059323,chr15,76626002,76639958,53.12
ENSMUSG00000052316,chr16,30269302,30283256,50.66
ENSMUSG00000056204,chr8,70646435,70660388,52.35
ENSMUSG00000033849,chr1,143640664,143654614,34
ENSMUSG00000032609,chr9,108447636,108461581,52.38
ENSMUSG00000078924,chr11,46524212,46538156,42.2
ENSMUSG00000069208,chr13,74480054,74493992,40.62
ENSMUSG00000028794,chr4,128755364,128769298,47.94
ENSMUSG00000031403,chrX,75095854,75109777,41.89
ENSMUSG00000061769,chr6,130013033,130026954,35.61
ENSMUSG00000032127,chr9,44347749,44361670,47.87
ENSMUSG00000022218,chr14,55700009,55713926,52.07
ENSMUSG00000090302,chr5,88268919,88282835,38.64
ENSMUSG00000040312,chr17,35517100,35531015,53.05
ENSMUSG00000026614,chr1,185454848,185468762,46.85
ENSMUSG00000034807,chr8,71610998,71624911,52.51
ENSMUSG00000020891,chr11,69183932,69197843,47.28
ENSMUSG00000050504,chrX,50005448,50019359,38.59
ENSMUSG00000042726,chr5,121371725,121385632,50.16
ENSMUSG00000061099,chr7,30729775,30743681,50.88
ENSMUSG00000028137,chr3,94478295,94492198,54.39
ENSMUSG00000047363,chr2,30595040,30608943,54.09
ENSMUSG00000024580,chr18,61712424,61726325,45.26
ENSMUSG00000007833,chr7,45140684,45154584,51.06
ENSMUSG00000000320,chr11,70241457,70255353,48.86
ENSMUSG00000013353,chr7,43492044,43505940,46.98
ENSMUSG00000062859,chr17,28066745,28080639,51.71
ENSMUSG00000066613,chr5,109996521,110010411,39.03
ENSMUSG00000014867,chr2,26920040,26933928,49.76
ENSMUSG00000007682,chr12,90724552,90738438,42.09
ENSMUSG00000089832,chr7,27342133,27356019,51.33
ENSMUSG00000030722,chr7,126382854,126396737,46.16
ENSMUSG00000072145,chr14,44492463,44506345,39.67
ENSMUSG00000057894,chr7,12804977,12818858,40.07
ENSMUSG00000069289,chr13,22518114,22531992,40.87
ENSMUSG00000074417,chr7,3884242,3898120,45.49
ENSMUSG00000026034,chr1,58410189,58424066,40.91
ENSMUSG00000039382,chrX,7714333,7728206,47.69
ENSMUSG00000051367,chr12,73040015,73053887,50.04
ENSMUSG00000028601,chr4,108165437,108179308,47.93
ENSMUSG00000059043,chr16,3830878,3844747,42.58
ENSMUSG00000056749,chr13,52967209,52981073,48.93
ENSMUSG00000040724,chr3,107101146,107115005,47.81
ENSMUSG00000042842,chr13,32965209,32979067,43.16
ENSMUSG00000032218,chr9,70407692,70421547,46.65
ENSMUSG00000010097,chr19,8757073,8770922,45.88
ENSMUSG00000034460,chr12,73099609,73113456,45.42
ENSMUSG00000020864,chr11,94328001,94341841,44.66
ENSMUSG00000026415,chr1,130800902,130814740,46.44
ENSMUSG00000037235,chr5,34173883,34187720,52.87
ENSMUSG00000067367,chr5,38220470,38234306,46.98
ENSMUSG00000045954,chr1,51289126,51302960,41.93
ENSMUSG00000058441,chr15,89059734,89073567,55.46
ENSMUSG00000048222,chr2,121460235,121474067,44.5
ENSMUSG00000039917,chr5,135632618,135646448,49
ENSMUSG00000047153,chr14,55884947,55898775,49.16
ENSMUSG00000041991,chr3,93319749,93333570,45.72
ENSMUSG00000024217,chr17,27838150,27851968,45.73
ENSMUSG00000090812,chr12,87199723,87213541,43.32
ENSMUSG00000113450,chr13,62453016,62466832,40.57
ENSMUSG00000038845,chr11,95666957,95680773,50.03
ENSMUSG00000025165,chr11,121067407,121081220,48.74
ENSMUSG00000005823,chr17,57234635,57248446,49.7
ENSMUSG00000036002,chr4,43032414,43046220,51.15
ENSMUSG00000027355,chr2,116878691,116892494,42.27
ENSMUSG00000036061,chr15,103153290,103167092,48.32
ENSMUSG00000027350,chr2,132781278,132795079,44.61
ENSMUSG00000024529,chr18,52516067,52529867,41.57
ENSMUSG00000075023,chr2,93855361,93869157,48.35
ENSMUSG00000022881,chr16,23113943,23127737,40.38
ENSMUSG00000042369,chr2,76369984,76383768,42.21
ENSMUSG00000091055,chr18,78043614,78057395,51.11
ENSMUSG00000049728,chr7,127863047,127876828,49.06
ENSMUSG00000024517,chr18,65872820,65886596,45.9
ENSMUSG00000045374,chr11,75440944,75454717,54.91
ENSMUSG00000029343,chr5,112255815,112269585,51.21
ENSMUSG00000059498,chr1,171051174,171064935,46.41
ENSMUSG00000078894,chr2,176226569,176240328,41.44
ENSMUSG00000027327,chr2,131146324,131160081,51.25
ENSMUSG00000047635,chr5,124328089,124341844,47.6
ENSMUSG00000024228,chr17,58999618,59013372,39.27
ENSMUSG00000000957,chr14,54431612,54445364,53.13
ENSMUSG00000021123,chr12,79208914,79222665,43.64
ENSMUSG00000052974,chr7,27119909,27133660,47.76
ENSMUSG00000041881,chr17,33824572,33838317,44.88
ENSMUSG00000047459,chr2,155236533,155250277,47.17
ENSMUSG00000040205,chr7,131308554,131322292,44.12
ENSMUSG00000031171,chrX,8238668,8252406,46.65
ENSMUSG00000056995,chr2,88387062,88400799,36.19
ENSMUSG00000073946,chr7,103573061,103586795,36.59
ENSMUSG00000047787,chr19,7092001,7105729,53.81
ENSMUSG00000073574,chr18,41985323,41999049,43.75
ENSMUSG00000015165,chr7,28808541,28822266,51.25
ENSMUSG00000007036,chr17,35089263,35102987,54.87
ENSMUSG00000109588,chr16,56914344,56928061,41.26
ENSMUSG00000004610,chr7,43444083,43457800,49.83
ENSMUSG00000031953,chr8,111863038,111876750,44.92
ENSMUSG00000074340,chr3,105973711,105987423,44.18
ENSMUSG00000021598,chr13,69802395,69816104,47.3
ENSMUSG00000041935,chr15,3982035,3995744,37.81
ENSMUSG00000056019,chr8,71882019,71895727,39.94
ENSMUSG00000037446,chr17,28351515,28365222,54.35
ENSMUSG00000042414,chr1,13113457,13127163,46.33
ENSMUSG00000020641,chr12,26442746,26456452,43.51
ENSMUSG00000047507,chr17,25242659,25256364,57.19
ENSMUSG00000023333,chr9,78051924,78065624,45.55
ENSMUSG00000040694,chr17,48419231,48432930,48.12
ENSMUSG00000078995,chr13,67362113,67375810,40.03
ENSMUSG00000056271,chr9,57607085,57620774,51.03
ENSMUSG00000003352,chr15,98630840,98644529,56.19
ENSMUSG00000030400,chr7,19382010,19395694,56.21
ENSMUSG00000039787,chr2,29869164,29882840,52.72
ENSMUSG00000029587,chr5,143235163,143248834,49.63
ENSMUSG00000022426,chr15,79674251,79687919,48.5
ENSMUSG00000051413,chr2,153227759,153241426,47.35
ENSMUSG00000020059,chr10,88459569,88473236,37.3
ENSMUSG00000089717,chr4,52814604,52828269,38.53
ENSMUSG00000020868,chr11,94663851,94677515,55.87
ENSMUSG00000059201,chr6,29060220,29073877,46.98
ENSMUSG00000050195,chr19,44333092,44346743,47.94
ENSMUSG00000025223,chr19,46031570,46045214,54.47
ENSMUSG00000053012,chr6,71271677,71285319,39.1
ENSMUSG00000064262,chr6,48647234,48660875,42.83
ENSMUSG00000024730,chr19,11067471,11081102,42.71
ENSMUSG00000025473,chr7,139978932,139992562,51.69
ENSMUSG00000021902,chr14,31237689,31251317,44.06
ENSMUSG00000030469,chr7,43579610,43593235,44.27
ENSMUSG00000001661,chr15,102998257,103011881,49.24
ENSMUSG00000042372,chr19,25610301,25623921,48.54
ENSMUSG00000062861,chr7,6383295,6396915,45.91
ENSMUSG00000033220,chr15,78559167,78572783,53.4
ENSMUSG00000055555,chrX,53724826,53738441,41.8
